State,count,mean,sum
TEXAS,3481,5.202240735420856,18109
FLORIDA,2160,5.7787037037037035,12482
PENNSYLVANIA,1723,6.249564712710389,10768
OHIO,1658,5.873341375150784,9738
ILLINOIS,1362,6.0881057268722465,8292
GEORGIA,1156,5.852941176470588,6766
NEW YORK,1069,5.115060804490177,5468
WISCONSIN,917,5.256270447110142,4820
MISSOURI,675,6.222222222222222,4200
ALABAMA,677,5.5081240768094535,3729
COLORADO,642,5.179127725856698,3325
ARKANSAS,511,6.097847358121331,3116
LOUISIANA,554,5.189530685920578,2875
MASSACHUSETTS,508,5.332677165354331,2709
OKLAHOMA,453,5.964679911699779,2702
NEW JERSEY,561,4.46524064171123,2505
KANSAS,471,5.078556263269639,2392
MISSISSIPPI,449,4.959910913140312,2227
WEST VIRGINIA,213,8.835680751173708,1882
NEBRASKA,348,4.908045977011494,1708
NORTH DAKOTA,224,5.977678571428571,1339
CONNECTICUT,211,5.805687203791469,1225
IDAHO,210,5.757142857142857,1209
SOUTH DAKOTA,140,5.071428571428571,710
VIRGINIA,101,6.792079207920792,686
NEW HAMPSHIRE,118,5.745762711864407,678
MAINE,162,3.8703703703703702,627
DELAWARE,95,6.178947368421053,587
CALIFORNIA,113,4.8053097345132745,543
RHODE ISLAND,72,6.569444444444445,473
MONTANA,105,4.428571428571429,465
DISTRICT OF COLUMBIA,69,4.739130434782608,327
TENNESSEE,38,5.421052631578948,206
WASHINGTON,39,4.666666666666667,182
NEW MEXICO,17,7.176470588235294,122
OREGON,22,5.454545454545454,120
KENTUCKY,27,4.37037037037037,118
MINNESOTA,19,6.052631578947368,115
MICHIGAN,19,5.894736842105263,112
ARIZONA,25,4.48,112
MARYLAND,29,3.8620689655172415,112
SOUTH CAROLINA,15,7.0,105
NORTH CAROLINA,28,3.6785714285714284,103
HAWAII,21,4.761904761904762,100
UTAH,17,4.235294117647059,72
WYOMING,7,8.428571428571429,59
INDIANA,13,4.0,52
IOWA,8,4.75,38
ALASKA,6,5.5,33
GUAM,4,7.25,29
PUERTO RICO,3,9.333333333333334,28
AMERICAN SAMOA,5,5.6,28
NORTHERN MARIANA ISLANDS,3,8.333333333333334,25
VERMONT,2,8.5,17
NEVADA,2,6.0,12
VIRGIN ISLANDS,1,0.0,0
